file_name,year,kind,page,method,chars,cjk_chars
2019年计算机408统考真题. .pdf,2019,真题,5,digital_text,854,377
2019年计算机408统考真题. .pdf,2019,真题,6,digital_text,1501,617
2019年计算机408统考真题. .pdf,2019,真题,7,digital_text,1033,609
2021年计算机408统考真题. .pdf,2021,真题,1,digital_text,1017,342
2021年计算机408统考真题. .pdf,2021,真题,2,digital_text,841,267
2021年计算机408统考真题. .pdf,2021,真题,3,digital_text,1140,550
2021年计算机408统考真题. .pdf,2021,真题,4,digital_text,1168,554
2021年计算机408统考真题. .pdf,2021,真题,5,ocr_easyocr,457,327
2021年计算机408统考真题. .pdf,2021,真题,6,digital_text,993,468
2021年计算机408统考真题. .pdf,2021,真题,7,digital_text,906,335
2021年计算机408统考真题. .pdf,2021,真题,8,digital_text,1183,405
2021年计算机408统考真题. .pdf,2021,真题,9,digital_text,1064,521
2021年计算机408统考真题. .pdf,2021,真题,10,ocr_easyocr,894,547
2022年计算机408统考真题. .pdf,2022,真题,1,digital_text,430,346
2022年计算机408统考真题. .pdf,2022,真题,2,digital_text,1445,538
2022年计算机408统考真题. .pdf,2022,真题,3,digital_text,1505,691
2022年计算机408统考真题. .pdf,2022,真题,4,digital_text,1201,603
2022年计算机408统考真题. .pdf,2022,真题,5,digital_text,1582,624
2022年计算机408统考真题. .pdf,2022,真题,6,digital_text,922,484
2022年计算机408统考真题. .pdf,2022,真题,7,ocr_easyocr,457,327
2022年计算机408统考真题. .pdf,2022,真题,8,digital_text,1002,655
2022年计算机408统考真题. .pdf,2022,真题,9,digital_text,1133,529
2023年计算机408统考真题. .pdf,2023,真题,1,ocr_easyocr,387,160
2023年计算机408统考真题. .pdf,2023,真题,2,ocr_easyocr,377,192
2023年计算机408统考真题. .pdf,2023,真题,3,ocr_easyocr,499,202
2023年计算机408统考真题. .pdf,2023,真题,4,ocr_easyocr,672,159
2023年计算机408统考真题. .pdf,2023,真题,5,ocr_easyocr,624,220
2023年计算机408统考真题. .pdf,2023,真题,6,ocr_easyocr,556,163
2023年计算机408统考真题. .pdf,2023,真题,7,ocr_easyocr,799,68
2023年计算机408统考真题. .pdf,2023,真题,8,ocr_easyocr,674,220
2023年计算机408统考真题. .pdf,2023,真题,9,ocr_easyocr,654,41
2023年计算机408统考真题. .pdf,2023,真题,10,ocr_easyocr,564,29
2023年计算机408统考真题. .pdf,2023,真题,11,ocr_easyocr,644,184
2023年计算机408统考真题. .pdf,2023,真题,12,ocr_easyocr,459,328
2023年计算机408统考真题. .pdf,2023,真题,13,ocr_easyocr,550,297
2009年计算机408统考真题解析. .pdf,2009,解析/答案,1,digital_text,1261,487
2009年计算机408统考真题解析. .pdf,2009,解析/答案,2,digital_text,830,583
2009年计算机408统考真题解析. .pdf,2009,解析/答案,3,digital_text,1334,737
2009年计算机408统考真题解析. .pdf,2009,解析/答案,4,digital_text,1369,790
2009年计算机408统考真题解析. .pdf,2009,解析/答案,5,digital_text,1233,934
2009年计算机408统考真题解析. .pdf,2009,解析/答案,6,digital_text,1369,967
2009年计算机408统考真题解析. .pdf,2009,解析/答案,7,digital_text,1045,640
2009年计算机408统考真题解析. .pdf,2009,解析/答案,8,digital_text,1374,711
2009年计算机408统考真题解析. .pdf,2009,解析/答案,9,digital_text,1142,419
2009年计算机408统考真题解析. .pdf,2009,解析/答案,10,digital_text,927,341
2009年计算机408统考真题解析. .pdf,2009,解析/答案,11,digital_text,1590,681
2009年计算机408统考真题解析. .pdf,2009,解析/答案,12,digital_text,201,104
2010年计算机408统考真题解析. .pdf,2010,解析/答案,1,digital_text,1268,493
2010年计算机408统考真题解析. .pdf,2010,解析/答案,2,digital_text,1035,666
2010年计算机408统考真题解析. .pdf,2010,解析/答案,3,digital_text,1377,936
2010年计算机408统考真题解析. .pdf,2010,解析/答案,4,digital_text,1295,812
2010年计算机408统考真题解析. .pdf,2010,解析/答案,5,digital_text,1068,769
2010年计算机408统考真题解析. .pdf,2010,解析/答案,6,digital_text,1186,808
2010年计算机408统考真题解析. .pdf,2010,解析/答案,7,digital_text,1386,918
2010年计算机408统考真题解析. .pdf,2010,解析/答案,8,digital_text,1120,371
2010年计算机408统考真题解析. .pdf,2010,解析/答案,9,digital_text,1252,599
2010年计算机408统考真题解析. .pdf,2010,解析/答案,10,digital_text,1195,529
2010年计算机408统考真题解析. .pdf,2010,解析/答案,11,digital_text,1402,741
2011年计算机408统考真题解析. .pdf,2011,解析/答案,1,digital_text,1460,600
2011年计算机408统考真题解析. .pdf,2011,解析/答案,2,digital_text,939,672
2011年计算机408统考真题解析. .pdf,2011,解析/答案,3,digital_text,1255,683
2011年计算机408统考真题解析. .pdf,2011,解析/答案,4,digital_text,1341,974
2011年计算机408统考真题解析. .pdf,2011,解析/答案,5,digital_text,1489,1086
2011年计算机408统考真题解析. .pdf,2011,解析/答案,6,digital_text,1514,930
2011年计算机408统考真题解析. .pdf,2011,解析/答案,7,digital_text,1147,515
2011年计算机408统考真题解析. .pdf,2011,解析/答案,8,digital_text,1147,140
2011年计算机408统考真题解析. .pdf,2011,解析/答案,9,digital_text,1228,680
2011年计算机408统考真题解析. .pdf,2011,解析/答案,10,digital_text,1500,734
2011年计算机408统考真题解析. .pdf,2011,解析/答案,11,digital_text,1380,657
2011年计算机408统考真题解析. .pdf,2011,解析/答案,12,digital_text,737,439
2012年计算机408统考真题解析. .pdf,2012,解析/答案,1,digital_text,1101,290
2012年计算机408统考真题解析. .pdf,2012,解析/答案,2,digital_text,877,444
2012年计算机408统考真题解析. .pdf,2012,解析/答案,3,digital_text,1369,791
2012年计算机408统考真题解析. .pdf,2012,解析/答案,4,digital_text,1350,802
2012年计算机408统考真题解析. .pdf,2012,解析/答案,5,digital_text,1424,688
2012年计算机408统考真题解析. .pdf,2012,解析/答案,6,digital_text,1184,769
2012年计算机408统考真题解析. .pdf,2012,解析/答案,7,digital_text,1386,845
2012年计算机408统考真题解析. .pdf,2012,解析/答案,8,digital_text,1284,770
2012年计算机408统考真题解析. .pdf,2012,解析/答案,9,digital_text,1304,724
2012年计算机408统考真题解析. .pdf,2012,解析/答案,10,digital_text,1394,668
2012年计算机408统考真题解析. .pdf,2012,解析/答案,11,digital_text,1413,746
2013年计算机408统考真题解析. .pdf,2013,解析/答案,1,digital_text,927,384
2013年计算机408统考真题解析. .pdf,2013,解析/答案,2,digital_text,760,489
2013年计算机408统考真题解析. .pdf,2013,解析/答案,3,digital_text,1110,401
2013年计算机408统考真题解析. .pdf,2013,解析/答案,4,digital_text,1219,705
2013年计算机408统考真题解析. .pdf,2013,解析/答案,5,digital_text,1068,821
2013年计算机408统考真题解析. .pdf,2013,解析/答案,6,digital_text,1221,751
2013年计算机408统考真题解析. .pdf,2013,解析/答案,7,digital_text,1156,435
2013年计算机408统考真题解析. .pdf,2013,解析/答案,8,digital_text,1209,772
2013年计算机408统考真题解析. .pdf,2013,解析/答案,9,digital_text,1342,643
2013年计算机408统考真题解析. .pdf,2013,解析/答案,10,digital_text,1150,504
2013年计算机408统考真题解析. .pdf,2013,解析/答案,11,digital_text,278,157
2014年计算机408统考真题解析. .pdf,2014,解析/答案,1,digital_text,1172,433
2014年计算机408统考真题解析. .pdf,2014,解析/答案,2,digital_text,1438,798
2014年计算机408统考真题解析. .pdf,2014,解析/答案,3,digital_text,1490,882
2014年计算机408统考真题解析. .pdf,2014,解析/答案,4,digital_text,1487,910
2014年计算机408统考真题解析. .pdf,2014,解析/答案,5,digital_text,1230,889
2014年计算机408统考真题解析. .pdf,2014,解析/答案,6,digital_text,1595,887
2014年计算机408统考真题解析. .pdf,2014,解析/答案,7,digital_text,1244,603
2014年计算机408统考真题解析. .pdf,2014,解析/答案,8,digital_text,1486,589
2014年计算机408统考真题解析. .pdf,2014,解析/答案,9,digital_text,1389,640
2014年计算机408统考真题解析. .pdf,2014,解析/答案,10,digital_text,845,176
2014年计算机408统考真题解析. .pdf,2014,解析/答案,11,digital_text,1215,651
2014年计算机408统考真题解析. .pdf,2014,解析/答案,12,digital_text,1521,919
2014年计算机408统考真题解析. .pdf,2014,解析/答案,13,digital_text,1201,633
2014年计算机408统考真题解析. .pdf,2014,解析/答案,14,digital_text,270,196
2015年计算机408统考真题解析. .pdf,2015,解析/答案,1,digital_text,1035,467
2015年计算机408统考真题解析. .pdf,2015,解析/答案,2,digital_text,1017,477
2015年计算机408统考真题解析. .pdf,2015,解析/答案,3,digital_text,1357,781
2015年计算机408统考真题解析. .pdf,2015,解析/答案,4,digital_text,1282,918
2015年计算机408统考真题解析. .pdf,2015,解析/答案,5,digital_text,1344,831
